Date_YYYY-MM-DD,Country_Region,Location_name,Location_lat,Location_lon,Transect,Position,Size_min_mm,Size_max_mm,Size_class,no_color,black,grey,red_pink,orange_brown_yellow,green,blue,purple
2018-04-25,Taiwan,Xialiao_Beach,25.21469,121.65406,A,1,1,5,microplastics,52,0,0,0,0,0,0,0
2018-04-25,Taiwan,Xialiao_Beach,25.21469,121.65406,A,2,1,5,microplastics,36,0,0,0,0,0,0,0
2018-04-25,Taiwan,Xialiao_Beach,25.21469,121.65406,A,3,1,5,microplastics,76,1,0,2,0,0,0,0
2018-04-25,Taiwan,Xialiao_Beach,25.21469,121.65406,A,4,1,5,microplastics,56,0,1,0,0,0,0,0
2018-04-25,Taiwan,Xialiao_Beach,25.21469,121.65406,A,5,1,5,microplastics,179,0,0,1,1,2,1,0
2018-04-25,Taiwan,Xialiao_Beach,25.21469,121.65406,A,6,1,5,microplastics,58,0,1,0,0,0,2,0
2018-04-25,Taiwan,Xialiao_Beach,25.21469,121.65406,A,7,1,5,microplastics,65,4,0,0,1,0,0,0
2018-04-25,Taiwan,Xialiao_Beach,25.21469,121.65406,A,8,1,5,microplastics,73,0,0,0,1,2,2,0
2018-04-25,Taiwan,Xialiao_Beach,25.21469,121.65406,A,9,1,5,microplastics,76,0,0,1,0,2,0,0
2018-04-25,Taiwan,Xialiao_Beach,25.21469,121.65406,A,10,1,5,microplastics,104,7,1,0,0,6,5,0
2018-04-25,Taiwan,Xialiao_Beach,25.21469,121.65406,A,11,1,5,microplastics,20,1,1,0,1,1,0,0
2018-04-25,Taiwan,Xialiao_Beach,25.21469,121.65406,A,12,1,5,microplastics,16,1,1,1,0,0,0,0
2018-04-25,Taiwan,Xialiao_Beach,25.21469,121.65406,A,13,1,5,microplastics,179,9,4,5,2,15,9,2
2018-04-25,Taiwan,Xialiao_Beach,25.21469,121.65406,A,14,1,5,microplastics,25,0,1,0,0,0,3,0
2018-04-25,Taiwan,Xialiao_Beach,25.21469,121.65406,A,15,1,5,microplastics,36,3,1,2,0,2,2,0
2018-04-25,Taiwan,Xialiao_Beach,25.21469,121.65406,A,16,1,5,microplastics,3,0,0,0,0,0,0,0
2018-04-25,Taiwan,Xialiao_Beach,25.21469,121.65406,A,17,1,5,microplastics,1,0,0,0,0,0,0,0
2018-04-25,Taiwan,Xialiao_Beach,25.21469,121.65406,A,18,1,5,microplastics,0,0,0,0,0,0,0,0
2018-04-25,Taiwan,Xialiao_Beach,25.21469,121.65406,A,19,1,5,microplastics,1,0,0,0,0,0,0,0
2018-04-25,Taiwan,Xialiao_Beach,25.21469,121.65406,A,20,1,5,microplastics,0,0,0,0,0,0,1,0
2018-04-25,Taiwan,Xialiao_Beach,25.21469,121.65406,A,21,1,5,microplastics,0,0,0,0,0,0,0,0
2018-04-25,Taiwan,Xialiao_Beach,25.21469,121.65406,A,22,1,5,microplastics,2,0,0,0,0,0,0,0
2018-04-25,Taiwan,Xialiao_Beach,25.21469,121.65406,A,23,1,5,microplastics,3,0,0,0,0,0,2,0
2018-04-25,Taiwan,Xialiao_Beach,25.21469,121.65406,B,1,1,5,microplastics,73,0,0,0,0,0,0,1
2018-04-25,Taiwan,Xialiao_Beach,25.21469,121.65406,B,2,1,5,microplastics,26,0,0,2,1,0,0,0
2018-04-25,Taiwan,Xialiao_Beach,25.21469,121.65406,B,3,1,5,microplastics,44,0,1,0,0,0,0,0
2018-04-25,Taiwan,Xialiao_Beach,25.21469,121.65406,B,4,1,5,microplastics,44,0,1,0,1,0,1,0
2018-04-25,Taiwan,Xialiao_Beach,25.21469,121.65406,B,5,1,5,microplastics,52,2,0,1,1,1,1,0
2018-04-25,Taiwan,Xialiao_Beach,25.21469,121.65406,B,6,1,5,microplastics,82,0,0,0,2,1,1,0
2018-04-25,Taiwan,Xialiao_Beach,25.21469,121.65406,B,7,1,5,microplastics,29,0,0,0,1,1,0,0
2018-04-25,Taiwan,Xialiao_Beach,25.21469,121.65406,B,8,1,5,microplastics,175,1,0,0,0,0,0,0
2018-04-25,Taiwan,Xialiao_Beach,25.21469,121.65406,B,9,1,5,microplastics,78,1,1,1,0,4,0,0
2018-04-25,Taiwan,Xialiao_Beach,25.21469,121.65406,B,10,1,5,microplastics,60,1,2,1,0,0,3,0
2018-04-25,Taiwan,Xialiao_Beach,25.21469,121.65406,B,11,1,5,microplastics,26,0,0,1,0,0,0,0
2018-04-25,Taiwan,Xialiao_Beach,25.21469,121.65406,B,12,1,5,microplastics,87,4,1,6,1,7,9,1
2018-04-25,Taiwan,Xialiao_Beach,25.21469,121.65406,B,13,1,5,microplastics,26,1,0,0,2,0,4,0
2018-04-25,Taiwan,Xialiao_Beach,25.21469,121.65406,B,14,1,5,microplastics,1,0,0,0,0,0,0,0
2018-04-25,Taiwan,Xialiao_Beach,25.21469,121.65406,B,15,1,5,microplastics,180,1,3,3,2,9,7,2
2018-04-25,Taiwan,Xialiao_Beach,25.21469,121.65406,B,16,1,5,microplastics,1,0,0,0,0,0,0,0
2018-04-25,Taiwan,Xialiao_Beach,25.21469,121.65406,B,17,1,5,microplastics,2,0,0,0,0,0,0,0
2018-04-25,Taiwan,Xialiao_Beach,25.21469,121.65406,B,18,1,5,microplastics,0,0,0,0,0,0,0,0
2018-04-25,Taiwan,Xialiao_Beach,25.21469,121.65406,B,19,1,5,microplastics,0,0,0,0,0,0,0,0
2018-04-25,Taiwan,Xialiao_Beach,25.21469,121.65406,B,20,1,5,microplastics,0,0,0,0,0,0,0,0
2018-04-25,Taiwan,Xialiao_Beach,25.21469,121.65406,B,21,1,5,microplastics,0,0,0,0,0,0,0,0
2018-04-25,Taiwan,Xialiao_Beach,25.21469,121.65406,B,22,1,5,microplastics,0,0,0,0,0,0,0,0
2018-04-25,Taiwan,Xialiao_Beach,25.21469,121.65406,B,23,1,5,microplastics,0,0,0,0,0,0,0,0
2018-04-25,Taiwan,Xialiao_Beach,25.21469,121.65406,C,1,1,5,microplastics,41,0,0,0,1,1,0,0
2018-04-25,Taiwan,Xialiao_Beach,25.21469,121.65406,C,2,1,5,microplastics,66,0,0,0,0,0,2,0
2018-04-25,Taiwan,Xialiao_Beach,25.21469,121.65406,C,3,1,5,microplastics,33,0,0,0,0,0,0,0
2018-04-25,Taiwan,Xialiao_Beach,25.21469,121.65406,C,4,1,5,microplastics,43,1,0,0,0,0,0,0
2018-04-25,Taiwan,Xialiao_Beach,25.21469,121.65406,C,5,1,5,microplastics,34,0,0,0,0,1,0,0
2018-04-25,Taiwan,Xialiao_Beach,25.21469,121.65406,C,6,1,5,microplastics,111,0,1,2,0,1,0,0
2018-04-25,Taiwan,Xialiao_Beach,25.21469,121.65406,C,7,1,5,microplastics,20,0,0,0,0,0,0,0
2018-04-25,Taiwan,Xialiao_Beach,25.21469,121.65406,C,8,1,5,microplastics,43,0,0,3,1,0,1,0
2018-04-25,Taiwan,Xialiao_Beach,25.21469,121.65406,C,9,1,5,microplastics,127,0,1,2,1,0,4,0
2018-04-25,Taiwan,Xialiao_Beach,25.21469,121.65406,C,10,1,5,microplastics,124,0,1,1,0,3,1,0
2018-04-25,Taiwan,Xialiao_Beach,25.21469,121.65406,C,11,1,5,microplastics,15,0,2,1,1,0,2,0
2018-04-25,Taiwan,Xialiao_Beach,25.21469,121.65406,C,12,1,5,microplastics,14,0,0,0,0,2,0,0
2018-04-25,Taiwan,Xialiao_Beach,25.21469,121.65406,C,13,1,5,microplastics,15,0,0,0,0,1,0,0
2018-04-25,Taiwan,Xialiao_Beach,25.21469,121.65406,C,14,1,5,microplastics,129,5,3,0,3,3,6,0
2018-04-25,Taiwan,Xialiao_Beach,25.21469,121.65406,C,15,1,5,microplastics,9,1,0,0,0,0,0,0
2018-04-25,Taiwan,Xialiao_Beach,25.21469,121.65406,C,16,1,5,microplastics,10,1,0,0,0,2,0,0
2018-04-25,Taiwan,Xialiao_Beach,25.21469,121.65406,C,17,1,5,microplastics,0,0,0,0,1,0,0,0
2018-04-25,Taiwan,Xialiao_Beach,25.21469,121.65406,C,18,1,5,microplastics,4,0,0,0,0,0,0,0
2018-04-25,Taiwan,Xialiao_Beach,25.21469,121.65406,C,19,1,5,microplastics,3,0,0,0,0,0,0,0
2018-04-25,Taiwan,Xialiao_Beach,25.21469,121.65406,C,20,1,5,microplastics,3,0,0,0,0,0,0,0
2018-04-25,Taiwan,Xialiao_Beach,25.21469,121.65406,C,21,1,5,microplastics,0,0,0,0,0,0,0,0
2018-04-25,Taiwan,Xialiao_Beach,25.21469,121.65406,C,22,1,5,microplastics,0,0,0,0,0,0,0,0
2018-04-25,Taiwan,Xialiao_Beach,25.21469,121.65406,C,23,1,5,microplastics,3,0,0,0,0,0,0,0
2018-04-25,Taiwan,Xialiao_Beach,25.21469,121.65406,A,1,5,25,mesoplastics,7,0,0,0,0,0,0,0
2018-04-25,Taiwan,Xialiao_Beach,25.21469,121.65406,A,2,5,25,mesoplastics,7,0,0,0,0,0,0,0
2018-04-25,Taiwan,Xialiao_Beach,25.21469,121.65406,A,3,5,25,mesoplastics,7,0,0,0,0,0,0,0
2018-04-25,Taiwan,Xialiao_Beach,25.21469,121.65406,A,4,5,25,mesoplastics,3,0,1,0,0,1,0,0
2018-04-25,Taiwan,Xialiao_Beach,25.21469,121.65406,A,5,5,25,mesoplastics,18,1,0,0,0,0,0,0
2018-04-25,Taiwan,Xialiao_Beach,25.21469,121.65406,A,6,5,25,mesoplastics,9,0,0,0,2,0,0,0
2018-04-25,Taiwan,Xialiao_Beach,25.21469,121.65406,A,7,5,25,mesoplastics,6,0,1,0,2,0,0,0
2018-04-25,Taiwan,Xialiao_Beach,25.21469,121.65406,A,8,5,25,mesoplastics,11,0,1,0,0,0,0,0
2018-04-25,Taiwan,Xialiao_Beach,25.21469,121.65406,A,9,5,25,mesoplastics,22,0,0,0,0,1,0,0
2018-04-25,Taiwan,Xialiao_Beach,25.21469,121.65406,A,10,5,25,mesoplastics,19,0,0,2,2,3,5,0
2018-04-25,Taiwan,Xialiao_Beach,25.21469,121.65406,A,11,5,25,mesoplastics,5,2,0,0,0,1,0,0
2018-04-25,Taiwan,Xialiao_Beach,25.21469,121.65406,A,12,5,25,mesoplastics,2,0,0,0,1,0,1,0
2018-04-25,Taiwan,Xialiao_Beach,25.21469,121.65406,A,13,5,25,mesoplastics,26,2,2,1,2,3,6,1
2018-04-25,Taiwan,Xialiao_Beach,25.21469,121.65406,A,14,5,25,mesoplastics,5,0,0,0,0,0,1,0
2018-04-25,Taiwan,Xialiao_Beach,25.21469,121.65406,A,15,5,25,mesoplastics,0,0,0,0,0,1,0,0
2018-04-25,Taiwan,Xialiao_Beach,25.21469,121.65406,A,16,5,25,mesoplastics,0,0,0,0,0,0,0,0
2018-04-25,Taiwan,Xialiao_Beach,25.21469,121.65406,A,17,5,25,mesoplastics,0,0,0,0,0,0,0,0
2018-04-25,Taiwan,Xialiao_Beach,25.21469,121.65406,A,18,5,25,mesoplastics,0,0,0,0,0,0,0,0
2018-04-25,Taiwan,Xialiao_Beach,25.21469,121.65406,A,19,5,25,mesoplastics,0,0,0,0,0,0,0,0
2018-04-25,Taiwan,Xialiao_Beach,25.21469,121.65406,A,20,5,25,mesoplastics,0,0,0,0,0,0,0,0
2018-04-25,Taiwan,Xialiao_Beach,25.21469,121.65406,A,21,5,25,mesoplastics,0,0,0,0,0,0,0,0
2018-04-25,Taiwan,Xialiao_Beach,25.21469,121.65406,A,22,5,25,mesoplastics,0,0,0,0,0,0,0,0
2018-04-25,Taiwan,Xialiao_Beach,25.21469,121.65406,A,23,5,25,mesoplastics,0,0,0,0,0,0,0,0
2018-04-25,Taiwan,Xialiao_Beach,25.21469,121.65406,B,1,5,25,mesoplastics,3,0,0,0,0,0,0,0
2018-04-25,Taiwan,Xialiao_Beach,25.21469,121.65406,B,2,5,25,mesoplastics,3,1,0,0,0,0,0,0
2018-04-25,Taiwan,Xialiao_Beach,25.21469,121.65406,B,3,5,25,mesoplastics,6,0,1,0,0,0,2,0
2018-04-25,Taiwan,Xialiao_Beach,25.21469,121.65406,B,4,5,25,mesoplastics,13,0,0,0,2,0,0,0
2018-04-25,Taiwan,Xialiao_Beach,25.21469,121.65406,B,5,5,25,mesoplastics,9,0,0,0,0,1,0,0
2018-04-25,Taiwan,Xialiao_Beach,25.21469,121.65406,B,6,5,25,mesoplastics,7,0,1,0,0,0,0,0
2018-04-25,Taiwan,Xialiao_Beach,25.21469,121.65406,B,7,5,25,mesoplastics,6,1,0,0,0,0,1,0
2018-04-25,Taiwan,Xialiao_Beach,25.21469,121.65406,B,8,5,25,mesoplastics,21,0,1,0,2,2,0,0
2018-04-25,Taiwan,Xialiao_Beach,25.21469,121.65406,B,9,5,25,mesoplastics,17,1,0,0,0,0,0,0
2018-04-25,Taiwan,Xialiao_Beach,25.21469,121.65406,B,10,5,25,mesoplastics,14,0,2,1,0,0,1,0
2018-04-25,Taiwan,Xialiao_Beach,25.21469,121.65406,B,11,5,25,mesoplastics,6,0,0,0,3,0,2,0
2018-04-25,Taiwan,Xialiao_Beach,25.21469,121.65406,B,12,5,25,mesoplastics,0,0,0,0,0,0,0,0
2018-04-25,Taiwan,Xialiao_Beach,25.21469,121.65406,B,13,5,25,mesoplastics,3,0,0,1,1,2,0,0
2018-04-25,Taiwan,Xialiao_Beach,25.21469,121.65406,B,14,5,25,mesoplastics,14,1,0,1,1,4,1,0
2018-04-25,Taiwan,Xialiao_Beach,25.21469,121.65406,B,15,5,25,mesoplastics,21,1,0,0,2,0,1,0
2018-04-25,Taiwan,Xialiao_Beach,25.21469,121.65406,B,16,5,25,mesoplastics,0,0,1,0,0,0,0,0
2018-04-25,Taiwan,Xialiao_Beach,25.21469,121.65406,B,17,5,25,mesoplastics,0,0,0,0,0,0,0,0
2018-04-25,Taiwan,Xialiao_Beach,25.21469,121.65406,B,18,5,25,mesoplastics,0,0,0,0,0,0,0,0
2018-04-25,Taiwan,Xialiao_Beach,25.21469,121.65406,B,19,5,25,mesoplastics,0,0,0,0,0,0,0,0
2018-04-25,Taiwan,Xialiao_Beach,25.21469,121.65406,B,20,5,25,mesoplastics,0,0,0,0,0,0,0,0
2018-04-25,Taiwan,Xialiao_Beach,25.21469,121.65406,B,21,5,25,mesoplastics,0,0,0,0,0,0,0,0
2018-04-25,Taiwan,Xialiao_Beach,25.21469,121.65406,B,22,5,25,mesoplastics,0,0,0,0,0,0,0,0
2018-04-25,Taiwan,Xialiao_Beach,25.21469,121.65406,B,23,5,25,mesoplastics,0,0,0,0,0,0,0,0
2018-04-25,Taiwan,Xialiao_Beach,25.21469,121.65406,C,1,5,25,mesoplastics,4,0,0,0,0,0,0,0
2018-04-25,Taiwan,Xialiao_Beach,25.21469,121.65406,C,2,5,25,mesoplastics,15,0,0,0,0,1,0,0
2018-04-25,Taiwan,Xialiao_Beach,25.21469,121.65406,C,3,5,25,mesoplastics,5,0,0,0,0,0,0,0
2018-04-25,Taiwan,Xialiao_Beach,25.21469,121.65406,C,4,5,25,mesoplastics,9,0,0,0,1,0,0,0
2018-04-25,Taiwan,Xialiao_Beach,25.21469,121.65406,C,5,5,25,mesoplastics,6,0,0,0,0,0,0,0
2018-04-25,Taiwan,Xialiao_Beach,25.21469,121.65406,C,6,5,25,mesoplastics,15,0,0,1,0,0,0,0
2018-04-25,Taiwan,Xialiao_Beach,25.21469,121.65406,C,7,5,25,mesoplastics,3,0,0,0,0,1,1,0
2018-04-25,Taiwan,Xialiao_Beach,25.21469,121.65406,C,8,5,25,mesoplastics,6,0,0,0,0,0,0,0
2018-04-25,Taiwan,Xialiao_Beach,25.21469,121.65406,C,9,5,25,mesoplastics,24,0,0,0,2,0,0,0
2018-04-25,Taiwan,Xialiao_Beach,25.21469,121.65406,C,10,5,25,mesoplastics,6,0,0,0,1,2,0,0
2018-04-25,Taiwan,Xialiao_Beach,25.21469,121.65406,C,11,5,25,mesoplastics,3,0,0,0,0,0,0,0
2018-04-25,Taiwan,Xialiao_Beach,25.21469,121.65406,C,12,5,25,mesoplastics,1,0,0,0,0,0,1,0
2018-04-25,Taiwan,Xialiao_Beach,25.21469,121.65406,C,13,5,25,mesoplastics,0,0,0,0,1,0,0,0
2018-04-25,Taiwan,Xialiao_Beach,25.21469,121.65406,C,14,5,25,mesoplastics,11,1,0,0,2,1,1,0
2018-04-25,Taiwan,Xialiao_Beach,25.21469,121.65406,C,15,5,25,mesoplastics,0,1,0,0,0,0,0,0
2018-04-25,Taiwan,Xialiao_Beach,25.21469,121.65406,C,16,5,25,mesoplastics,0,0,0,0,0,0,0,0
2018-04-25,Taiwan,Xialiao_Beach,25.21469,121.65406,C,17,5,25,mesoplastics,0,0,0,0,0,0,0,0
2018-04-25,Taiwan,Xialiao_Beach,25.21469,121.65406,C,18,5,25,mesoplastics,0,0,0,0,0,0,0,0
2018-04-25,Taiwan,Xialiao_Beach,25.21469,121.65406,C,19,5,25,mesoplastics,1,0,0,0,0,0,0,0
2018-04-25,Taiwan,Xialiao_Beach,25.21469,121.65406,C,20,5,25,mesoplastics,0,0,0,0,0,1,0,0
2018-04-25,Taiwan,Xialiao_Beach,25.21469,121.65406,C,21,5,25,mesoplastics,0,0,0,0,0,0,0,0
2018-04-25,Taiwan,Xialiao_Beach,25.21469,121.65406,C,22,5,25,mesoplastics,0,0,0,0,0,0,0,0
2018-04-25,Taiwan,Xialiao_Beach,25.21469,121.65406,C,23,5,25,mesoplastics,0,0,0,0,0,0,0,0
2018-05-25,Taiwan,Xialiao_Beach,25.21469,121.65406,A,1,1,5,microplastics,296,0,0,0,0,4,1,0
2018-05-25,Taiwan,Xialiao_Beach,25.21469,121.65406,A,2,1,5,microplastics,278,0,0,1,3,0,1,0
2018-05-25,Taiwan,Xialiao_Beach,25.21469,121.65406,A,3,1,5,microplastics,69,0,1,0,0,1,0,0
2018-05-25,Taiwan,Xialiao_Beach,25.21469,121.65406,A,4,1,5,microplastics,101,1,0,0,1,0,0,0
2018-05-25,Taiwan,Xialiao_Beach,25.21469,121.65406,A,5,1,5,microplastics,406,0,0,0,1,2,1,0
2018-05-25,Taiwan,Xialiao_Beach,25.21469,121.65406,A,6,1,5,microplastics,59,2,1,0,1,0,1,0
2018-05-25,Taiwan,Xialiao_Beach,25.21469,121.65406,A,7,1,5,microplastics,125,0,0,0,0,0,0,0
2018-05-25,Taiwan,Xialiao_Beach,25.21469,121.65406,A,8,1,5,microplastics,212,2,0,1,3,2,2,0
2018-05-25,Taiwan,Xialiao_Beach,25.21469,121.65406,A,9,1,5,microplastics,257,2,3,1,1,4,2,0
2018-05-25,Taiwan,Xialiao_Beach,25.21469,121.65406,A,10,1,5,microplastics,45,1,0,0,0,15,0,0
2018-05-25,Taiwan,Xialiao_Beach,25.21469,121.65406,A,11,1,5,microplastics,21,0,1,0,1,3,0,0
2018-05-25,Taiwan,Xialiao_Beach,25.21469,121.65406,A,12,1,5,microplastics,44,1,0,0,0,2,1,2
2018-05-25,Taiwan,Xialiao_Beach,25.21469,121.65406,A,13,1,5,microplastics,14,0,1,1,0,1,0,0
2018-05-25,Taiwan,Xialiao_Beach,25.21469,121.65406,A,14,1,5,microplastics,14,0,0,0,0,0,1,0
2018-05-25,Taiwan,Xialiao_Beach,25.21469,121.65406,A,15,1,5,microplastics,134,7,1,2,2,1,5,0
2018-05-25,Taiwan,Xialiao_Beach,25.21469,121.65406,A,16,1,5,microplastics,5,1,0,0,0,1,0,0
2018-05-25,Taiwan,Xialiao_Beach,25.21469,121.65406,A,17,1,5,microplastics,2,0,0,0,0,0,0,0
2018-05-25,Taiwan,Xialiao_Beach,25.21469,121.65406,A,18,1,5,microplastics,1,0,0,0,0,0,0,0
2018-05-25,Taiwan,Xialiao_Beach,25.21469,121.65406,A,19,1,5,microplastics,3,1,0,0,0,0,0,0
2018-05-25,Taiwan,Xialiao_Beach,25.21469,121.65406,A,20,1,5,microplastics,13,2,0,0,0,0,1,0
2018-05-25,Taiwan,Xialiao_Beach,25.21469,121.65406,A,21,1,5,microplastics,22,1,0,0,0,5,1,0
2018-05-25,Taiwan,Xialiao_Beach,25.21469,121.65406,A,22,1,5,microplastics,0,0,0,0,0,1,0,0
2018-05-25,Taiwan,Xialiao_Beach,25.21469,121.65406,A,23,1,5,microplastics,1,0,0,0,0,0,1,0
2018-05-25,Taiwan,Xialiao_Beach,25.21469,121.65406,B,1,1,5,microplastics,665,1,2,2,1,0,0,0
2018-05-25,Taiwan,Xialiao_Beach,25.21469,121.65406,B,2,1,5,microplastics,78,1,0,0,0,0,0,0
2018-05-25,Taiwan,Xialiao_Beach,25.21469,121.65406,B,3,1,5,microplastics,85,0,0,0,0,0,0,0
2018-05-25,Taiwan,Xialiao_Beach,25.21469,121.65406,B,4,1,5,microplastics,61,1,0,0,0,2,0,0
2018-05-25,Taiwan,Xialiao_Beach,25.21469,121.65406,B,5,1,5,microplastics,387,3,1,0,2,0,0,0
2018-05-25,Taiwan,Xialiao_Beach,25.21469,121.65406,B,6,1,5,microplastics,93,2,1,0,0,1,0,0
2018-05-25,Taiwan,Xialiao_Beach,25.21469,121.65406,B,7,1,5,microplastics,63,0,1,0,1,0,0,0
2018-05-25,Taiwan,Xialiao_Beach,25.21469,121.65406,B,8,1,5,microplastics,180,0,3,1,0,0,1,0
2018-05-25,Taiwan,Xialiao_Beach,25.21469,121.65406,B,9,1,5,microplastics,352,3,2,4,0,2,3,0
2018-05-25,Taiwan,Xialiao_Beach,25.21469,121.65406,B,10,1,5,microplastics,81,0,0,0,0,0,0,0
2018-05-25,Taiwan,Xialiao_Beach,25.21469,121.65406,B,11,1,5,microplastics,28,0,0,1,0,1,1,0
2018-05-25,Taiwan,Xialiao_Beach,25.21469,121.65406,B,12,1,5,microplastics,20,3,0,2,0,1,3,0
2018-05-25,Taiwan,Xialiao_Beach,25.21469,121.65406,B,13,1,5,microplastics,20,0,1,2,0,1,1,0
2018-05-25,Taiwan,Xialiao_Beach,25.21469,121.65406,B,14,1,5,microplastics,30,1,0,1,0,3,1,0
2018-05-25,Taiwan,Xialiao_Beach,25.21469,121.65406,B,15,1,5,microplastics,21,1,0,0,1,3,3,0
2018-05-25,Taiwan,Xialiao_Beach,25.21469,121.65406,B,16,1,5,microplastics,3,0,0,0,0,0,0,0
2018-05-25,Taiwan,Xialiao_Beach,25.21469,121.65406,B,17,1,5,microplastics,0,0,0,0,0,0,1,0
2018-05-25,Taiwan,Xialiao_Beach,25.21469,121.65406,B,18,1,5,microplastics,0,0,0,0,1,0,0,0
2018-05-25,Taiwan,Xialiao_Beach,25.21469,121.65406,B,19,1,5,microplastics,0,0,0,1,0,0,0,0
2018-05-25,Taiwan,Xialiao_Beach,25.21469,121.65406,B,20,1,5,microplastics,5,0,0,0,0,0,1,0
2018-05-25,Taiwan,Xialiao_Beach,25.21469,121.65406,B,21,1,5,microplastics,21,1,0,0,0,0,2,0
2018-05-25,Taiwan,Xialiao_Beach,25.21469,121.65406,B,22,1,5,microplastics,0,0,0,0,0,0,0,0
2018-05-25,Taiwan,Xialiao_Beach,25.21469,121.65406,B,23,1,5,microplastics,2,0,0,0,0,0,0,0
2018-05-25,Taiwan,Xialiao_Beach,25.21469,121.65406,C,1,1,5,microplastics,615,1,0,0,0,0,0,0
2018-05-25,Taiwan,Xialiao_Beach,25.21469,121.65406,C,2,1,5,microplastics,181,0,0,0,2,2,0,0
2018-05-25,Taiwan,Xialiao_Beach,25.21469,121.65406,C,3,1,5,microplastics,59,0,1,1,0,0,2,0
2018-05-25,Taiwan,Xialiao_Beach,25.21469,121.65406,C,4,1,5,microplastics,101,0,2,0,1,0,0,0
2018-05-25,Taiwan,Xialiao_Beach,25.21469,121.65406,C,5,1,5,microplastics,220,3,1,1,2,2,0,0
2018-05-25,Taiwan,Xialiao_Beach,25.21469,121.65406,C,6,1,5,microplastics,31,1,0,0,2,0,0,0
2018-05-25,Taiwan,Xialiao_Beach,25.21469,121.65406,C,7,1,5,microplastics,68,0,0,0,0,0,0,0
